CODGEO;REG;DEP;LIBGEO;Zone en vigueur depuis le 5 juillet 2024;Reclassement juillet 2024
57695;44;57;Varize-Vaudoncourt;C;Non
57696;44;57;Varsberg;B2;Non
57697;44;57;Vasperviller;C;Non
57698;44;57;Vatimont;C;Non
57700;44;57;Vaudreching;C;Non
57701;44;57;Vaux;B2;Non
57702;44;57;Vaxy;C;Non
57703;44;57;Veckersviller;C;Non
57704;44;57;Veckring;C;Non
57705;44;57;Velving;C;Non
57706;44;57;Vergaville;C;Non
57707;44;57;Vernéville;B2;Non
57708;44;57;Verny;C;Non
57709;44;57;Vescheim;C;Non
57711;44;57;Vibersviller;C;Non
57712;44;57;Vic-sur-Seille;C;Non
57713;44;57;Vieux-Lixheim;C;Non
57714;44;57;Haute-Vigneulles;C;Non
57715;44;57;Vigny;C;Non
57716;44;57;Vigy;C;Non
57717;44;57;Viller;C;Non
57718;44;57;Villers-Stoncourt;C;Non
57719;44;57;Villers-sur-Nied;C;Non
57720;44;57;Villing;C;Non
57721;44;57;Vilsberg;C;Non
57723;44;57;Virming;C;Non
57724;44;57;Vitry-sur-Orne;B2;Non
57725;44;57;Vittersbourg;C;Non
57726;44;57;Vittoncourt;C;Non
57727;44;57;Viviers;C;Non
57728;44;57;Voimhaut;C;Non
57730;44;57;Volmerange-lès-Boulay;C;Non
57731;44;57;Volmerange-les-Mines;B1;Oui
57732;44;57;Volmunster;C;Non
57733;44;57;Volstroff;C;Non
57734;44;57;Voyer;C;Non
57736;44;57;Vry;C;Non
57737;44;57;Vulmont;C;Non
57738;44;57;Waldhouse;C;Non
57739;44;57;Waldweistroff;C;Non
57740;44;57;Waldwisse;C;Non
57741;44;57;Walschbronn;C;Non
57742;44;57;Walscheid;C;Non
57743;44;57;Waltembourg;C;Non
57745;44;57;Wiesviller;B2;Non
57746;44;57;Willerwald;B2;Non
57747;44;57;Wintersbourg;C;Non
57748;44;57;Wittring;B2;Non
57749;44;57;Vlfling-lès-Bouzonville;C;Non
57750;44;57;Wlfling-lès-Sarreguemines;B2;Non
57751;44;57;Woippy;B1;Non
57752;44;57;Woustviller;B2;Non
57753;44;57;Wuisse;C;Non
57754;44;57;Xanrey;C;Non
57755;44;57;Xocourt;C;Non
57756;44;57;Xouaxange;C;Non
57757;44;57;Yutz;B1;Non
57759;44;57;Zarbeling;C;Non
57760;44;57;Zetting;B2;Non
57761;44;57;Zilling;C;Non
57762;44;57;Zimming;C;Non
57763;44;57;Zommange;C;Non
57764;44;57;Zoufftgen;B1;Oui
57765;44;57;Diesen;B2;Non
57767;44;57;Stuckange;C;Non
58001;27;58;Achun;C;Non
58002;27;58;Alligny-Cosne;C;Non
58003;27;58;Alligny-en-Morvan;C;Non
58004;27;58;Alluy;C;Non
58005;27;58;Amazy;C;Non
58006;27;58;Anlezy;C;Non
58007;27;58;Annay;C;Non
58008;27;58;Anthien;C;Non
58009;27;58;Arbourse;C;Non
58010;27;58;Arleuf;C;Non
58011;27;58;Armes;C;Non
58012;27;58;Arquian;C;Non
58013;27;58;Arthel;C;Non
58014;27;58;Arzembouy;C;Non
58015;27;58;Asnan;C;Non
58016;27;58;Asnois;C;Non
58017;27;58;Aunay-en-Bazois;C;Non
58018;27;58;Authiou;C;Non
58019;27;58;Avrée;C;Non
58020;27;58;Avril-sur-Loire;C;Non
58021;27;58;Azy-le-Vif;C;Non
58023;27;58;Bazoches;C;Non
58024;27;58;Bazolles;C;Non
58025;27;58;Béard;C;Non
58026;27;58;Beaulieu;C;Non
58027;27;58;Beaumont-la-Ferrière;C;Non
58028;27;58;Beaumont-Sardolles;C;Non
58029;27;58;Beuvron;C;Non
58030;27;58;Biches;C;Non
58031;27;58;Billy-Chevannes;C;Non
58032;27;58;Billy-sur-Oisy;C;Non
58033;27;58;Bitry;C;Non
