var,2003,2004,2005,2006,2007,2008
f5hg,0,0,0,949348832,1049078917,885673359
f5ig,0,0,0,161259216,190738048,225466350
f7ge,2319983,4200363,5253841,6312444,6720541,7263767
f7gf,491792,773702,808174,898397,960585,1164720
f7gg,98666,90238,106723,55020,69696,94239
f7ua,2371616522,2056788605,1597890313,1129720259,690926,0
f7ub,43476644,33740409,19005526,15081591,11386300,0
f7uj,701297313,798117888,794785765,601188174,352795,0
f7ui,44230364,131099050,216068149,323728815,435954,618759592
f7ur,200696267,373534839,504611228,576493520,679208479,820005551
f7nz,5790288,0,0,0,0,0
f7oz,7748635,6170573,4983115,5353434,7300723,8736934
f7pz,11250225,9306499,8249790,13820324,12147014,11401402
f7qz,0,24344651,15579928,13372689,14438480,17619627
f7rz,0,0,31003328,19031707,27564978,22026436
f7sz,0,0,0,45436288,45407345,40779837
f7ff,48460014,47178720,42516833,41611435,43433130,42710976
f7cf,753724386,935619476,1013180854,1113168583,1231202574,1288692547
f7cl,210025178,96626912,55492066,73983532,94808259,119201355
f7cm,0,195654124,109872375,151508974,164913041,208799516
f7cn,0,0,283478033,327670866,368960939,423309457
f7gq,405174554,389142085,499757608,590273822,690478776,495385167
f7fq,13573936,90973078,120674037,222061371,323099867,315972112
f7fm,0,0,0,0,15087522,20018022
f7fn,0,0,0,16692480,6294041,4207627
f7gn,0,0,0,47683106,56068388,56469760
f7fh,1119779,3083658,4708404,6206100,7973992,10058021
f7us,534915,692371,696839,951253,1229473,1139991
f7uo,76048,101002,96237,80531,93398,100300
f7um,14017565,0,0,0,25021,25764
f7un,22171923,27475770,26576947,17908238,19991841,23517864
f7fy,0,0,0,428,360,485
f7gy,0,0,0,19,42,37
f7uc,297472688,145787562,0,732834,812969,900507
f7xc,0,0,365047006,632909869,532386160,467173107
f7xd,0,0,50750468,31681352,0,0
f7xf,0,0,59160526,99869725,161172605,166276148
f7xg,14652366,14457987,3326251,3592812,3462423,2878473
f7xh,0,1709209,6993696,6574795,8136766,8360463
f7xj,0,2024946,820899,255846,153847,0
f7xk,0,0,316714,242544,0,0
f7xl,0,693232,686549,1492532,9679786,2389827
f7xm,0,0,618668,868328,1504795,2184499
f7xn,0,0,0,0,2581922,5030294
f7xo,0,0,0,0,0,743515
f8ta,53701064,67791443,61934712,74288888,83045648,88128504
f8th,4033203,3772716,3503060,4006825,2081860,2574999
f8tn,212551916,226067527,195499931,151954083,67539200,93601865
f8te,19236,24665,61298,60152,87590,74544
f8tg,3836410,4515410,4484022,4558353,5111340,6360979
f8to,1060159,2092847,3178709,5002211,5919840,5987675
f8tp,33924,119605,86979,50707,36176,74363
f8tb,0,8358073,302229,266591,543251,1301113
f8tc,441976,400965,524796,518691,570386,411131
f8td,308329,262314,1004075,0,0,0
f8uz,0,50227,139443,162443,287383,483746
f8tz,0,31906112,108506021,129582085,136010844,136802220
f8wa,0,0,8122130,11172315,13338485,15435107
f8wb,0,0,0,205706,382633,448037
f8wc,0,0,237921,341403,346554,205286
f8wd,0,0,0,6364208,11531196,16837352
f8we,0,0,0,0,0,21741
f8wr,0,0,0,114526,296908,841398
f8ws,0,0,0,0,0,4166
f8wt,0,0,0,6116019,8345326,9835597
f8wu,0,0,0,0,0,166204
f8wv,0,0,0,0,1952907,3218407
f8wx,0,0,0,0,28198,24189
