"SEYSSEL";"Seyssel";"01420";"01407";3
"SIMANDRE SUR SURAN";"Simandre-sur-Suran";"01250";"01408";3
"SONGIEU";"Songieu";"01260";"01409";3
"SONTHONNAX LA MONTAGNE";"Sonthonnax-la-Montagne";"01580";"01410";3
"SOUCLIN";"Souclin";"01150";"01411";3
"SULIGNAT";"Sulignat";"01400";"01412";3
"SURJOUX";"Surjoux";"01420";"01413";3
"SUTRIEU";"Sutrieu";"01260";"01414";3
"TALISSIEU";"Talissieu";"01510";"01415";3
"TENAY";"Tenay";"01230";"01416";3
"THEZILLIEU";"Thézillieu";"01110";"01417";3
"THIL";"Thil";"01120";"01418";3
"THOIRY";"Thoiry";"01710";"01419";2
"THOISSEY";"Thoissey";"01140";"01420";3
"TORCIEU";"Torcieu";"01230";"01421";3
"TOSSIAT";"Tossiat";"01250";"01422";3
"TOUSSIEUX";"Toussieux";"01600";"01423";2
"TRAMOYES";"Tramoyes";"01390";"01424";3
"LA TRANCLIERE";"La Tranclière";"01160";"01425";3
"TREFFORT CUISIAT";"Treffort-Cuisiat";"01370";"01426";3
"TREVOUX";"Trévoux";"01600";"01427";2
"VALEINS";"Valeins";"01140";"01428";3
"VANDEINS";"Vandeins";"01660";"01429";3
"VARAMBON";"Varambon";"01160";"01430";3
"VAUX EN BUGEY";"Vaux-en-Bugey";"01150";"01431";3
"VERJON";"Verjon";"01270";"01432";3
"VERNOUX";"Vernoux";"01560";"01433";3
"VERSAILLEUX";"Versailleux";"01330";"01434";3
"VERSONNEX";"Versonnex";"01210";"01435";2
"VESANCY";"Vesancy";"01170";"01436";2
"VESCOURS";"Vescours";"01560";"01437";3
"VESINES";"Vésines";"01570";"01439";3
"VIEU D IZENAVE";"Vieu-d'Izenave";"01430";"01441";3
"VIEU";"Vieu";"01260";"01442";3
"VIEU";"Vieu";"01430";"01442";3
"VILLARS LES DOMBES";"Villars-les-Dombes";"01330";"01443";3
"VILLEBOIS";"Villebois";"01150";"01444";3
"VILLEMOTIER";"Villemotier";"01270";"01445";3
"VILLENEUVE";"Villeneuve";"01480";"01446";3
"VILLEREVERSURE";"Villereversure";"01250";"01447";3
"VILLES";"Villes";"01200";"01448";3
"VILLETTE SUR AIN";"Villette-sur-Ain";"01320";"01449";3
"VILLIEU LOYES MOLLON";"Villieu-Loyes-Mollon";"01800";"01450";3
"VIRIAT";"Viriat";"01440";"01451";3
"VIRIEU LE GRAND";"Virieu-le-Grand";"01510";"01452";3
"VIRIEU LE PETIT";"Virieu-le-Petit";"01260";"01453";3
"VIRIGNIN";"Virignin";"01300";"01454";3
"VONGNES";"Vongnes";"01350";"01456";3
"VONNAS";"Vonnas";"01540";"01457";3
"ABBECOURT";"Abbécourt";"02300";"02001";3
"ACHERY";"Achery";"02800";"02002";3
"ACY";"Acy";"02200";"02003";3
"AGNICOURT ET SECHELLES";"Agnicourt-et-Séchelles";"02340";"02004";3
"AGUILCOURT";"Aguilcourt";"02190";"02005";3
"AISONVILLE ET BERNOVILLE";"Aisonville-et-Bernoville";"02110";"02006";3
"AIZELLES";"Aizelles";"02820";"02007";3
"AIZY JOUY";"Aizy-Jouy";"02370";"02008";3
"ALAINCOURT";"Alaincourt";"02240";"02009";3
"ALLEMANT";"Allemant";"02320";"02010";3
"AMBLENY";"Ambleny";"02290";"02011";3
"AMBRIEF";"Ambrief";"02200";"02012";3
"AMIFONTAINE";"Amifontaine";"02190";"02013";3
"AMIGNY ROUY";"Amigny-Rouy";"02700";"02014";3
"ANCIENVILLE";"Ancienville";"02600";"02015";3
"ANDELAIN";"Andelain";"02800";"02016";3
"ANGUILCOURT LE SART";"Anguilcourt-le-Sart";"02800";"02017";3
"ANIZY LE CHATEAU";"Anizy-le-Château";"02320";"02018";3
"ANNOIS";"Annois";"02480";"02019";3
"ANY MARTIN RIEUX";"Any-Martin-Rieux";"02500";"02020";3
"ARCHON";"Archon";"02360";"02021";3
"ARCY STE RESTITUE";"Arcy-Sainte-Restitue";"02130";"02022";3
"ARMENTIERES SUR OURCQ";"Armentières-sur-Ourcq";"02210";"02023";3
"ARRANCY";"Arrancy";"02860";"02024";3
"ARTEMPS";"Artemps";"02480";"02025";3
"ARTONGES";"Artonges";"02330";"02026";3
"ASSIS SUR SERRE";"Assis-sur-Serre";"02270";"02027";3
"ATHIES SOUS LAON";"Athies-sous-Laon";"02840";"02028";3
"ATTILLY";"Attilly";"02490";"02029";3
"AUBENCHEUL AUX BOIS";"Aubencheul-aux-Bois";"02420";"02030";3
"AUBENTON";"Aubenton";"02500";"02031";3
"AUBIGNY AUX KAISNES";"Aubigny-aux-Kaisnes";"02590";"02032";3
