,TU99,TAU99,REG,POL99,proba_zone1,proba_zone2,proba_zone3
371,2,2,25,1,0.0,0.0,1.0
372,2,2,26,1,0.0,0.0,1.0
373,2,2,52,1,0.0,0.0,1.0
374,2,2,72,1,0.0,0.0,1.0
375,2,2,73,1,0.0,0.0,1.0
376,2,2,82,1,0.0,0.0,1.0
377,2,2,91,1,0.0,0.0,1.0
378,2,4,25,2,0.0,0.0,1.0
379,2,5,41,2,0.0,0.0,1.0
380,2,6,31,2,0.0,0.0,1.0
381,2,6,52,2,0.0,0.0,1.0
382,2,6,54,2,0.0,0.0,1.0
383,2,6,91,2,0.0,0.0,1.0
384,2,6,94,2,0.0,1.0,0.0
385,2,7,21,2,0.0,0.0,1.0
386,2,7,22,2,0.0,0.0,1.0
387,2,7,24,2,0.0,0.0,1.0
388,2,7,26,2,0.0,0.0,1.0
389,2,7,31,2,0.0,0.0,1.0
390,2,7,41,2,0.0,0.0,1.0
391,2,7,43,2,0.0,0.0,1.0
392,2,7,52,2,0.0,0.0,1.0
393,2,7,53,2,0.0,0.0,1.0
394,2,7,82,2,0.0,0.0,1.0
395,2,8,22,2,0.0,0.0,1.0
396,2,8,24,2,0.0,0.0,1.0
397,2,8,26,2,0.0,0.0,1.0
398,2,8,31,2,0.0,0.779321244385,0.220678755615
399,2,8,41,2,0.0,0.0,1.0
400,2,8,52,2,0.0,0.0,1.0
401,2,8,53,2,0.0,0.328025044236,0.671974955764
402,2,8,74,2,0.0,0.0,1.0
403,2,8,82,2,0.0,0.645954819425,0.354045180575
404,2,8,83,2,0.0,0.0,1.0
405,2,8,91,2,0.0,0.0,1.0
406,2,9,23,2,0.0,0.0,1.0
407,2,9,31,2,0.0,0.143829401089,0.856170598911
408,2,9,42,2,0.0,0.0,1.0
409,2,9,52,2,0.0,0.0,1.0
410,2,9,53,2,0.0,0.0,1.0
411,2,9,72,2,0.0,0.0,1.0
412,2,9,73,2,0.0,0.0,1.0
413,2,9,82,2,0.0,0.081708137189,0.918291862811
414,2,9,93,2,0.0,0.169097034694,0.830902965306
415,2,10,11,2,0.809884734849,0.190115265151,0.0
416,2,10,22,2,0.0,1.0,0.0
417,2,10,23,2,0.0,0.0,1.0
418,2,10,24,2,0.0,0.0,1.0
419,3,0,1,2,0.0,0.0,1.0
420,3,0,1,4,0.0,0.0,1.0
421,3,0,2,3,0.0,0.0,1.0
422,3,0,2,4,0.0,0.0,1.0
423,3,0,3,1,0.0,0.0,1.0
424,3,0,3,2,0.0,0.0,1.0
425,3,0,3,4,0.0,0.0,1.0
426,3,0,4,2,0.0,0.0,1.0
427,3,0,4,3,0.0,0.0,1.0
428,3,0,22,3,0.0,0.40717210572,0.59282789428
429,3,0,22,4,0.0,0.0,1.0
430,3,0,23,3,0.0,0.0,1.0
431,3,0,24,3,0.0,0.0,1.0
432,3,0,24,4,0.0,0.0,1.0
433,3,0,25,4,0.0,0.0,1.0
434,3,0,26,4,0.0,0.0,1.0
435,3,0,31,3,0.0,0.0,1.0
436,3,0,31,4,0.0,0.532671629446,0.467328370554
437,3,0,41,3,0.0,0.0,1.0
438,3,0,41,4,0.0,0.0,1.0
439,3,0,42,3,0.0,0.0,1.0
440,3,0,42,4,0.0,0.0,1.0
441,3,0,43,3,0.0,0.0,1.0
442,3,0,43,4,0.0,0.0,1.0
443,3,0,52,4,0.0,0.0,1.0
444,3,0,53,4,0.0,0.0,1.0
445,3,0,72,3,0.0,0.0,1.0
446,3,0,72,4,0.0,0.0,1.0
447,3,0,73,4,0.0,0.0,1.0
448,3,0,74,4,0.0,0.0,1.0
449,3,0,82,3,0.0,0.0,1.0
450,3,0,82,4,0.0,0.0,1.0
451,3,0,83,4,0.0,0.0,1.0
452,3,0,91,4,0.0,0.0,1.0
453,3,0,93,3,0.0,0.281546878886,0.718453121114
454,3,0,93,4,0.0,0.0,1.0
455,3,0,94,4,0.0,1.0,0.0
456,3,1,21,1,0.0,0.0,1.0
457,3,1,22,1,0.0,0.0,1.0
458,3,1,23,1,0.0,0.0,1.0
459,3,1,25,1,0.0,0.0,1.0
460,3,1,26,1,0.0,0.0,1.0
461,3,1,31,1,0.0,0.0,1.0
462,3,1,41,1,0.0,0.0,1.0
463,3,1,42,1,0.0,0.0,1.0
464,3,1,43,1,0.0,0.0,1.0
465,3,1,52,1,0.0,0.0,1.0
466,3,1,53,1,0.0,0.0,1.0
467,3,1,72,1,0.0,0.557337355615,0.442662644385
468,3,1,74,1,0.0,0.0,1.0
469,3,1,82,1,0.0,0.0,1.0
470,3,1,93,1,0.0,1.0,0.0
471,3,2,11,1,0.0,1.0,0.0
472,3,2,21,1,0.0,0.0,1.0
473,3,2,22,1,0.0,0.451220145379,0.548779854621
474,3,2,23,1,0.0,0.0,1.0
475,3,2,24,1,0.0,0.0,1.0
476,3,2,25,1,0.0,0.0,1.0
477,3,2,26,1,0.0,0.0,1.0
478,3,2,31,1,0.0,0.0,1.0
479,3,2,41,1,0.0,0.523074807481,0.476925192519
480,3,2,42,1,0.0,0.0,1.0
481,3,2,43,1,0.0,0.0,1.0
482,3,2,52,1,0.0,0.0,1.0
483,3,2,53,1,0.0,0.0,1.0
484,3,2,54,1,0.0,0.0,1.0
485,3,2,73,1,0.0,0.0,1.0
486,3,2,82,1,0.0,0.0,1.0
487,3,2,83,1,0.0,0.0,1.0
488,3,2,91,1,0.0,0.0,1.0
489,3,2,93,1,0.0,0.0,1.0
490,3,3,11,1,0.0,1.0,0.0
491,3,3,21,1,0.0,0.0,1.0
492,3,3,22,1,0.0,0.0,1.0
493,3,3,24,1,0.0,0.0,1.0
494,3,3,25,1,0.0,0.0,1.0
495,3,3,31,1,0.0,0.0,1.0
496,3,3,52,1,0.0,0.0,1.0
